order_id,payment_sequential,payment_type,payment_installments,payment_value
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
298fcdf1f73eb413e4d26d01b25bc1cd,1,credit_card,2,96.12
cf95215a722f3ebf29e6bbab87a29e61,1,credit_card,5,102.66
12e5cfe0e4716b59afb0e0f4a3bd6570,1,credit_card,10,157.45
61059985a6fc0ad64e95d9944caacdad,1,credit_card,1,132.04
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94
b69b9260e79a0da00e15f48de1bd2524,1,boleto,1,283.34
595f598849d89203c28d05d0fbf3f92e,1,credit_card,1,26.58
d574338f566ca28dd67820f48ec1f1d8,1,credit_card,4,278.22
1ffb3c1929b16d9c1aec1958e11b3e9b,1,boleto,1,166.04
85eef2d342b0de363c45c1bc324729c5,1,credit_card,3,99.43
aa964845f1de8125410aea8b73e9e1ec,1,credit_card,2,27.35
343348b1e29e9fa9e7b6ab1027f9177d,1,credit_card,4,43.77
10d9871bed9fb8d0887d3b9022edd1ff,1,boleto,1,84.14
c108072ab31ec90a754129c171577f5f,1,credit_card,4,210.82
947e9c6bfd83a06953c420ef92d3da6e,1,voucher,1,69.46
4cb51127f19f7254b320efe1718477dd,1,boleto,1,77.1
e1b4ee0e390fbac1dec439d72b45a115,1,credit_card,3,77.7
723e462ce1ee50e024887c0b403130f3,1,credit_card,1,13.8
fa2ea4b6e84c1c0fc4f3a6d468c55183,1,debit_card,1,227.12
3e17eef8a8bd0131c7aed90d7508799e,1,credit_card,1,53.99
d60a89ab9bc1e68834465ae630c3343e,1,credit_card,2,115.59
96de2b7f7f3c401fbee3eef068376da6,1,boleto,1,32.15
f9d5bfb53147f381e81b89a848e26b16,1,credit_card,3,195.71
83f24bbc4f76a2730ba9c9cfa32e6d07,1,credit_card,3,231.45
2ccde1e4676c20b9444e2bcbed36334c,1,credit_card,8,134.56
ea9184ad433a404df1d72fa0a8764232,4,voucher,1,22.49
cdaa116d3c2521b4b6976043508d0943,1,credit_card,2,61.77
68d7420c86be23f313c81a554320f986,1,boleto,1,121.88
f51e3c7f79d1e2c076acbb6af1588b95,1,credit_card,1,130.22
8bdc559b124e47eb71b5d1be8d6675e4,1,credit_card,7,76.02
55779fa8fe072d9f8c92d672154558f2,1,boleto,1,233.66
242e24b7eaa9f48cde9d679f8591124d,1,credit_card,4,236.66
845af9472cc76e66fbf445931b511755,1,credit_card,5,123.41
953b6636ab2347a8ba37a16770db47f9,1,credit_card,10,379.07
487c1451b8fd7347d0e80e5aca887e91,2,voucher,1,30.0
4a4ed9ed7922304a569ed850baba99c6,1,credit_card,3,33.13
1594012ccc1b0770373ce691d697e5ae,1,credit_card,8,362.17
b545ba7b0bd67a3128185c7214704319,1,credit_card,8,340.08
9e59025992bd64bc26551391ed44a450,1,credit_card,3,67.01
3b9e43d6eba694f8a29c11ee67a04f2c,1,credit_card,8,242.1
1a9b986cfe31ed59c5a6c00287db7e74,1,credit_card,1,31.75
c79bdf061e22288609201ec60deb42fb,1,credit_card,1,12.22
2ad6c6594bf0917a25ff8b8918d4b7b0,1,credit_card,1,40.0
332c6742772f2df936696b6512b10edb,2,credit_card,6,134.55
fd1ddfeca967b94315642dfe5c7545f7,1,credit_card,6,225.71
9c96fac210f67f329b80d898001fee09,1,boleto,1,65.0
3a1a92434eae60a4f44ad7ebef65c3e7,1,credit_card,1,254.58
dc400373e624e9b0435847a79813c658,2,voucher,1,48.91
9f1cdc0e091b90e61836ddc009a60ef2,1,credit_card,4,48.22
0435b65bfd0a1cd1c48a82f5b405ea78,1,credit_card,4,154.14
cc1cc1d6081f7f07a16cc1a3e4ba0b78,1,credit_card,10,208.41
a5b431090739891ac76875d9ad9bff23,1,credit_card,4,232.05
1c67e99dc37224bf3ad220ae2368c068,1,credit_card,1,106.96
4ff8e28200e5a7a50b448cfaaf1f8ed3,1,credit_card,10,2288.31
f553b61e2a7f6dc62c5f8de4ffb4a031,1,debit_card,1,194.91
1966886b80f14d0588adf6406afb0026,1,debit_card,1,68.89
f6ed483455295c6e7544f141244cd981,1,credit_card,2,151.51
6c936253ed9ab81f5293da5081ba8a9a,1,boleto,1,39.6
dcec2b3be8c3d53056fe63381b2a6cfe,1,credit_card,10,159.18
97e8d3eb8f48e3610beed991e5f32296,1,credit_card,4,205.44
bedff73fa5a137527ba9314cac93b7b3,2,voucher,1,35.0
808c4b75909ba91f23c1ef928f396822,1,credit_card,3,143.65
6b58f3523e45f9838f702acbc21e2f51,1,credit_card,1,44.23
1f31fc163d36ff823c54a14e947b5bc8,1,credit_card,2,114.13
d4c46523b1239f182b74fb0ea1c27f32,1,credit_card,1,396.97
73596e67516934a7fe64cc6ca6d75545,1,credit_card,3,62.11
d51cbac21a49941976292ba004bf4165,1,credit_card,6,114.34
c8e19a0edcf6fd34024a2f7fe5f85ef8,1,boleto,1,341.4
a23c7a7d06f1f8e9f6e45f934c7e106b,1,boleto,1,245.94
621b8e90f6fd06a792af8bdbbaf64a92,2,voucher,1,72.42
e4fe84926e03b0030e643318464be6a7,1,credit_card,2,217.15
4801b9cf238c2c9098bd66a5f092c2da,1,credit_card,4,152.28
5eca2113141f2c0e048b11bdcb7a0371,1,credit_card,1,41.17
c24a00c414738de9ee6121f179ebba9c,1,boleto,1,107.87
8f4be74e60d163c72a59ba577a642d70,1,credit_card,5,125.87
7246a71d326111872bfdfd34f495dc4f,1,credit_card,5,117.53
fb6343faebbbee8c21d59d4ae59477a8,1,boleto,1,143.86
87b8f9f472fb04cdbf53fb55a3591b5f,1,credit_card,3,72.66
d0e9849de800fdb4cb3b5e6d42c6b367,1,boleto,1,85.79
ce6d150fb29ada17d2082f4847107665,1,credit_card,10,1586.47
257699bfe87de4eac234324e88db828a,1,credit_card,2,102.26
683bf306149bb869980b68d48a1bd6ab,2,voucher,1,30.0
ad6137b47c7f7c1c621f4de13c3d5bc9,1,credit_card,2,145.9
6760e20addcf0121e9d58f2f1ff14298,1,credit_card,6,88.78
242bc9216a7d8514ba8d435a96d63c3d,1,boleto,1,127.69
5ad7d897998f9bab0176a1c82b7437ea,1,credit_card,1,91.28
ef0beb334211d552bb4bbb9b43e60248,1,credit_card,2,158.98
b616f638cd86d92c7cbd06cf7484ee34,1,credit_card,1,20.75
cf9d814ad8673ebdaec52528c1f7a7ca,1,credit_card,2,101.25
bdd49e833a618b2e10096e4bd5725977,1,boleto,1,55.13
e11fec6c25945565c1ef4f14fc3c03b7,1,credit_card,10,1995.69
61792c6272346d7f4b7c5b1747df7b1a,1,credit_card,4,49.34
65bbd0719855fe808bb19f62dfa9f42c,1,credit_card,1,354.64
e3c6bf3aad3a42c48ae9619ac88d0b3d,1,credit_card,4,64.51
d74283a9b897322afe09916280aca43f,1,credit_card,1,54.43
3d7fb1dd6ff6f0eedb9976eda81e4a95,2,voucher,1,20.0
60bcba6747ee878b9007f61275f4cd1f,1,debit_card,1,265.41
5accb23a030458bbfb5eb669903f05b7,1,credit_card,1,35.4
689e8820798347950a2649f71c734bd0,1,credit_card,6,189.98
87276b621cf05e7f2afee8be6c9721b6,1,credit_card,8,314.21
34dedd5cb5e0f12df565171392540a8f,1,credit_card,1,22.29
89ce68f38090867719b22774f8bf5861,1,credit_card,6,162.99
1314353395f7148ba64400eab34bb50c,1,credit_card,10,156.73
7b88910a9e8c55290806a85af1b796a6,1,credit_card,4,63.23
85be7c94bcd3f908fc877157ee21f755,1,credit_card,1,72.75
21b966a378471db65c18fa4ca20d6800,1,credit_card,2,132.82
